"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.12.2015 00:00:00";"2";"0";"2582";"56,2";"4194304";"265080";"6,32";"0";"14";"54";"1";"0"
"04.12.2015 00:05:00";"2";"0";"2598";"56,56";"4194304";"309959";"7,39";"0";"36";"54";"0";"0"
"04.12.2015 00:10:00";"2";"0";"2577";"56,11";"4194304";"502897";"11,99";"0";"15";"54";"11";"35"
"04.12.2015 00:15:00";"2";"0";"2582";"56,22";"4194304";"278921";"6,65";"0";"14";"54";"1";"0"
"04.12.2015 00:20:00";"2";"0";"2580";"56,16";"4194304";"606077";"14,45";"0";"13";"54";"11";"35"
"04.12.2015 00:25:00";"2";"0";"2587";"56,31";"4194304";"419011";"9,99";"0";"16";"54";"1";"0"
"04.12.2015 00:30:00";"2";"0";"2574";"56,03";"4194304";"265080";"6,32";"0";"14";"54";"1";"1"
"04.12.2015 00:35:00";"2";"0";"2583";"56,23";"4194304";"184130";"4,39";"0";"14";"54";"0";"0"
"04.12.2015 00:40:00";"2";"0";"2575";"56,05";"4194304";"153092";"3,65";"0";"14";"54";"1";"1"
"04.12.2015 00:45:00";"2";"0";"2583";"56,23";"4194304";"200907";"4,79";"0";"15";"54";"0";"0"
"04.12.2015 00:50:00";"2";"0";"2595";"56,48";"4194304";"424464";"10,12";"0";"13";"54";"11";"35"
"04.12.2015 00:55:00";"2";"0";"2581";"56,18";"4194304";"203424";"4,85";"0";"15";"54";"1";"0"
"04.12.2015 01:00:00";"2";"0";"2574";"56,04";"4194304";"402234";"9,59";"0";"14";"54";"11";"35"
"04.12.2015 01:05:00";"2";"0";"2576";"56,08";"4194304";"242850";"5,79";"0";"14";"54";"0";"0"
"04.12.2015 01:10:00";"2";"0";"2576";"56,08";"4194304";"265080";"6,32";"0";"15";"54";"1";"1"
"04.12.2015 01:15:00";"2";"0";"2569";"55,92";"4194304";"293182";"6,99";"0";"15";"54";"0";"0"
"04.12.2015 01:20:00";"2";"0";"2568";"55,91";"4194304";"466407";"11,12";"0";"13";"54";"0";"0"
"04.12.2015 01:25:00";"2";"0";"2588";"56,33";"4194304";"452565";"10,79";"0";"15";"54";"1";"1"
"04.12.2015 01:30:00";"2";"0";"2579";"56,14";"4194304";"251239";"5,99";"0";"13";"54";"1";"5"
"04.12.2015 01:35:00";"2";"0";"2589";"56,36";"4194304";"217684";"5,19";"0";"13";"54";"0";"0"
"04.12.2015 01:40:00";"2";"0";"2599";"56,57";"4194304";"695835";"16,59";"0";"15";"54";"23";"61"
"04.12.2015 01:45:00";"2";"0";"2603";"56,67";"4194304";"905550";"21,59";"0";"16";"54";"2";"2"
"04.12.2015 01:50:00";"2";"0";"2582";"56,21";"4194304";"511286";"12,19";"0";"13";"54";"11";"35"
"04.12.2015 01:55:00";"2";"0";"2595";"56,49";"4194304";"309959";"7,39";"0";"16";"54";"1";"0"
"04.12.2015 02:00:00";"2";"0";"2573";"56,01";"4194304";"211812";"5,05";"0";"14";"54";"1";"0"
"04.12.2015 02:05:00";"2";"0";"2571";"55,97";"4194304";"239914";"5,72";"0";"14";"54";"0";"0"
"04.12.2015 02:10:00";"2";"0";"2580";"56,17";"4194304";"293182";"6,99";"0";"15";"54";"1";"1"
"04.12.2015 02:15:00";"2";"0";"2584";"56,26";"4194304";"270533";"6,45";"0";"14";"54";"1";"0"
"04.12.2015 02:20:00";"2";"0";"2589";"56,35";"4194304";"586783";"13,99";"0";"13";"54";"0";"0"
"04.12.2015 02:25:00";"2";"0";"2590";"56,38";"4194304";"438305";"10,45";"0";"14";"54";"1";"0"
"04.12.2015 02:30:00";"2";"0";"2585";"56,28";"4194304";"256691";"6,12";"0";"14";"54";"1";"0"
"04.12.2015 02:35:00";"2";"0";"2578";"56,11";"4194304";"211812";"5,05";"0";"14";"54";"0";"0"
"04.12.2015 02:40:00";"2";"0";"2577";"56,1";"4194304";"253755";"6,05";"0";"15";"54";"1";"1"
"04.12.2015 02:45:00";"2";"0";"2567";"55,87";"4194304";"268016";"6,39";"0";"15";"54";"1";"0"
"04.12.2015 02:50:00";"2";"0";"2583";"56,23";"4194304";"407686";"9,72";"0";"14";"54";"11";"35"
"04.12.2015 02:55:00";"2";"0";"2578";"56,13";"4194304";"259627";"6,19";"0";"16";"54";"1";"1"
"04.12.2015 03:00:00";"2";"0";"2592";"56,42";"4194304";"382521";"9,12";"0";"15";"54";"11";"35"
"04.12.2015 03:05:00";"2";"0";"2574";"56,03";"4194304";"281857";"6,72";"0";"14";"54";"0";"0"
"04.12.2015 03:10:00";"2";"0";"2569";"55,93";"4194304";"200907";"4,79";"0";"14";"54";"1";"1"
"04.12.2015 03:15:00";"2";"0";"2586";"56,29";"4194304";"281857";"6,72";"0";"15";"54";"0";"0"
"04.12.2015 03:20:00";"2";"0";"2590";"56,37";"4194304";"656409";"15,65";"0";"13";"54";"11";"35"
"04.12.2015 03:25:00";"2";"0";"2589";"56,35";"4194304";"522191";"12,45";"0";"16";"54";"1";"1"
"04.12.2015 03:30:00";"2";"0";"2584";"56,25";"4194304";"301570";"7,19";"0";"14";"54";"1";"0"
"04.12.2015 03:35:00";"2";"0";"2593";"56,45";"4194304";"226073";"5,39";"0";"14";"54";"0";"0"
"04.12.2015 03:40:00";"2";"0";"2587";"56,31";"4194304";"181194";"4,32";"0";"14";"54";"1";"1"
