"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"1";"0";"43";"1,84";"2097152";"52848";"2,52";"0";"1";"32";"0";"0"
"05.11.2015 00:05:00";"1";"0";"42";"1,77";"2097152";"52848";"2,52";"0";"2";"32";"0";"0"
"05.11.2015 00:10:00";"1";"0";"44";"1,87";"2097152";"41733";"1,99";"0";"0";"32";"0";"0"
"05.11.2015 00:15:00";"1";"0";"42";"1,76";"2097152";"31877";"1,52";"0";"1";"32";"0";"0"
"05.11.2015 00:20:00";"1";"0";"41";"1,74";"2097152";"36071";"1,72";"0";"0";"32";"0";"0"
"05.11.2015 00:25:00";"1";"0";"41";"1,74";"2097152";"66899";"3,19";"0";"1";"32";"0";"0"
"05.11.2015 00:30:00";"1";"0";"42";"1,77";"2097152";"41733";"1,99";"0";"0";"32";"0";"0"
"05.11.2015 00:35:00";"1";"0";"43";"1,81";"2097152";"52848";"2,52";"0";"1";"32";"0";"0"
"05.11.2015 00:40:00";"1";"0";"42";"1,78";"2097152";"44460";"2,12";"0";"0";"32";"0";"0"
"05.11.2015 00:45:00";"1";"0";"43";"1,82";"2097152";"40265";"1,92";"0";"1";"32";"0";"0"
"05.11.2015 00:50:00";"1";"0";"42";"1,76";"2097152";"20762";"0,99";"0";"0";"32";"0";"0"
"05.11.2015 00:55:00";"1";"0";"43";"1,81";"2097152";"33345";"1,59";"0";"1";"32";"0";"0"
"05.11.2015 01:00:00";"1";"0";"41";"1,76";"2097152";"41733";"1,99";"0";"0";"32";"0";"0"
"05.11.2015 01:05:00";"1";"0";"42";"1,78";"2097152";"57043";"2,72";"0";"1";"32";"0";"0"
"05.11.2015 01:10:00";"1";"0";"41";"1,75";"2097152";"57043";"2,72";"0";"0";"32";"0";"0"
"05.11.2015 01:15:00";"1";"0";"41";"1,74";"2097152";"63963";"3,05";"0";"1";"32";"0";"0"
"05.11.2015 01:20:00";"1";"0";"41";"1,74";"2097152";"38797";"1,85";"0";"0";"32";"0";"0"
"05.11.2015 01:25:00";"1";"0";"41";"1,75";"2097152";"44460";"2,12";"0";"1";"32";"0";"0"
"05.11.2015 01:30:00";"1";"0";"41";"1,75";"2097152";"38797";"1,85";"0";"0";"32";"0";"0"
"05.11.2015 01:35:00";"1";"0";"41";"1,75";"2097152";"52848";"2,52";"0";"1";"32";"0";"0"
"05.11.2015 01:40:00";"1";"0";"41";"1,75";"2097152";"38797";"1,85";"0";"1";"32";"0";"0"
"05.11.2015 01:45:00";"1";"0";"43";"1,82";"2097152";"50122";"2,39";"0";"1";"32";"0";"0"
"05.11.2015 01:50:00";"1";"0";"41";"1,75";"2097152";"31877";"1,52";"0";"1";"32";"0";"0"
"05.11.2015 01:55:00";"1";"0";"43";"1,81";"2097152";"47186";"2,25";"0";"1";"32";"0";"0"
"05.11.2015 02:00:00";"1";"0";"44";"1,85";"2097152";"52848";"2,52";"0";"1";"32";"0";"0"
"05.11.2015 02:05:00";"1";"0";"43";"1,81";"2097152";"41733";"1,99";"0";"2";"32";"0";"0"
"05.11.2015 02:10:00";"1";"0";"41";"1,75";"2097152";"63963";"3,05";"0";"1";"32";"0";"0"
"05.11.2015 02:15:00";"1";"0";"41";"1,76";"2097152";"44460";"2,12";"0";"1";"32";"0";"0"
"05.11.2015 02:20:00";"1";"0";"41";"1,75";"2097152";"40265";"1,92";"0";"1";"32";"0";"0"
"05.11.2015 02:25:00";"1";"0";"43";"1,8";"2097152";"45928";"2,19";"0";"1";"32";"0";"0"
"05.11.2015 02:30:00";"1";"0";"42";"1,78";"2097152";"27682";"1,32";"0";"1";"32";"0";"0"
"05.11.2015 02:35:00";"1";"0";"43";"1,83";"2097152";"23488";"1,12";"0";"1";"32";"0";"0"
"05.11.2015 02:40:00";"1";"0";"42";"1,79";"2097152";"20762";"0,99";"0";"0";"32";"0";"0"
"05.11.2015 02:45:00";"1";"0";"42";"1,79";"2097152";"30409";"1,45";"0";"1";"32";"0";"0"
"05.11.2015 02:50:00";"1";"0";"41";"1,76";"2097152";"47186";"2,25";"0";"0";"32";"0";"0"
"05.11.2015 02:55:00";"1";"0";"42";"1,76";"2097152";"83676";"3,99";"0";"1";"32";"0";"0"
"05.11.2015 03:00:00";"1";"0";"41";"1,75";"2097152";"47186";"2,25";"0";"1";"32";"0";"0"
"05.11.2015 03:05:00";"1";"0";"42";"1,8";"2097152";"24956";"1,19";"0";"1";"32";"0";"0"
"05.11.2015 03:10:00";"1";"0";"42";"1,76";"2097152";"37539";"1,79";"0";"1";"32";"0";"0"
"05.11.2015 03:15:00";"1";"0";"43";"1,82";"2097152";"40265";"1,92";"0";"1";"32";"0";"0"
"05.11.2015 03:20:00";"1";"0";"41";"1,75";"2097152";"29150";"1,39";"0";"1";"32";"0";"0"
"05.11.2015 03:25:00";"1";"0";"42";"1,78";"2097152";"65431";"3,12";"0";"1";"32";"0";"0"
"05.11.2015 03:30:00";"1";"0";"42";"1,76";"2097152";"24956";"1,19";"0";"1";"32";"0";"0"
"05.11.2015 03:35:00";"1";"0";"48";"2,05";"2097152";"82208";"3,92";"0";"31";"32";"0";"0"
"05.11.2015 03:40:00";"1";"0";"43";"1,8";"2097152";"150785";"7,19";"0";"1";"32";"0";"0"
"05.11.2015 03:45:00";"1";"0";"41";"1,74";"2097152";"54316";"2,59";"0";"1";"32";"0";"0"
"05.11.2015 03:50:00";"1";"0";"41";"1,75";"2097152";"20762";"0,99";"0";"0";"32";"0";"0"
"05.11.2015 03:55:00";"1";"0";"41";"1,74";"2097152";"33345";"1,59";"0";"1";"32";"0";"0"
"05.11.2015 04:00:00";"1";"0";"41";"1,75";"2097152";"44460";"2,12";"0";"1";"32";"0";"0"
"05.11.2015 04:05:00";"1";"0";"43";"1,81";"2097152";"31877";"1,52";"0";"1";"32";"0";"0"
"05.11.2015 04:10:00";"1";"0";"42";"1,76";"2097152";"41733";"1,99";"0";"1";"32";"0";"0"
"05.11.2015 04:15:00";"1";"0";"41";"1,75";"2097152";"29150";"1,39";"0";"1";"32";"0";"0"
"05.11.2015 04:20:00";"1";"0";"41";"1,76";"2097152";"20762";"0,99";"0";"1";"32";"0";"0"
"05.11.2015 04:25:00";"1";"0";"41";"1,76";"2097152";"45928";"2,19";"0";"1";"32";"0";"0"
"05.11.2015 04:30:00";"1";"0";"42";"1,76";"2097152";"61237";"2,92";"0";"1";"32";"0";"0"
"05.11.2015 04:35:00";"1";"0";"42";"1,77";"2097152";"66899";"3,19";"0";"1";"32";"0";"0"
"05.11.2015 04:40:00";"1";"0";"42";"1,77";"2097152";"30409";"1,45";"0";"1";"32";"0";"0"
"05.11.2015 04:45:00";"1";"0";"42";"1,78";"2097152";"52848";"2,52";"0";"1";"32";"0";"0"
