"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.01.2016 00:00:00";"2";"0";"19";"0,55";"2097152";"83676";"3,99";"0";"0";"34928";"0";"0"
"04.01.2016 00:05:00";"2";"0";"19";"0,54";"2097152";"61237";"2,92";"2";"0";"34928";"0";"0"
"04.01.2016 00:10:00";"2";"0";"21";"0,6";"2097152";"52848";"2,52";"4";"0";"34928";"0";"5"
"04.01.2016 00:15:00";"2";"0";"79";"2,22";"2097152";"340787";"16,25";"288";"117";"34928";"4";"157"
"04.01.2016 00:20:00";"2";"0";"65";"1,83";"2097152";"254175";"12,12";"177";"1";"34928";"5";"181"
"04.01.2016 00:25:00";"2";"0";"23";"0,67";"2097152";"117231";"5,59";"38";"0";"34928";"1";"40"
"04.01.2016 00:30:00";"2";"0";"24";"0,69";"2097152";"87871";"4,19";"41";"0";"34928";"1";"45"
"04.01.2016 00:35:00";"2";"0";"21";"0,59";"2097152";"97518";"4,65";"20";"0";"34928";"1";"32"
"04.01.2016 00:40:00";"2";"0";"24";"0,69";"2097152";"97518";"4,65";"34";"1";"34928";"1";"52"
"04.01.2016 00:45:00";"2";"0";"24";"0,69";"2097152";"87871";"4,19";"67";"4";"34928";"3";"87"
"04.01.2016 00:50:00";"2";"0";"23";"0,65";"2097152";"90597";"4,32";"81";"7";"34928";"3";"83"
"04.01.2016 00:55:00";"2";"0";"22";"0,64";"2097152";"82208";"3,92";"0";"1";"34928";"0";"1"
"04.01.2016 01:00:00";"2";"0";"22";"0,62";"2097152";"71093";"3,39";"0";"0";"34928";"0";"0"
"04.01.2016 01:05:00";"2";"0";"20";"0,57";"2097152";"101712";"4,85";"1";"1";"34928";"0";"3"
"04.01.2016 01:10:00";"2";"0";"66";"1,85";"2097152";"152044";"7,25";"0";"112";"34928";"1";"34"
"04.01.2016 01:15:00";"2";"0";"54";"1,53";"2097152";"293392";"13,99";"0";"2";"34928";"0";"3"
"04.01.2016 01:20:00";"2";"0";"17";"0,5";"2097152";"124151";"5,92";"0";"0";"34928";"0";"0"
"04.01.2016 01:25:00";"2";"0";"20";"0,56";"2097152";"101712";"4,85";"0";"0";"34928";"0";"0"
"04.01.2016 01:30:00";"2";"0";"18";"0,52";"2097152";"87871";"4,19";"0";"0";"34928";"0";"0"
"04.01.2016 01:35:00";"2";"0";"18";"0,5";"2097152";"72352";"3,45";"0";"0";"34928";"0";"0"
"04.01.2016 01:40:00";"2";"0";"23";"0,65";"2097152";"104648";"4,99";"0";"7";"34928";"1";"0"
"04.01.2016 01:45:00";"2";"0";"21";"0,59";"2097152";"75288";"3,59";"0";"2";"34928";"0";"0"
"04.01.2016 01:50:00";"2";"0";"18";"0,52";"2097152";"57043";"2,72";"0";"0";"34928";"0";"0"
"04.01.2016 01:55:00";"2";"0";"20";"0,58";"2097152";"69625";"3,32";"0";"0";"34928";"0";"0"
"04.01.2016 02:00:00";"2";"0";"20";"0,57";"2097152";"80740";"3,85";"0";"0";"34928";"0";"0"
"04.01.2016 02:05:00";"2";"0";"20";"0,56";"2097152";"68157";"3,25";"0";"0";"34928";"0";"0"
"04.01.2016 02:10:00";"2";"0";"22";"0,62";"2097152";"66899";"3,19";"0";"0";"34928";"0";"0"
"04.01.2016 02:15:00";"2";"0";"96";"2,7";"2097152";"289197";"13,79";"0";"114";"34928";"1";"29"
"04.01.2016 02:20:00";"2";"0";"18";"0,52";"2097152";"111568";"5,32";"0";"0";"34928";"0";"0"
"04.01.2016 02:25:00";"2";"0";"20";"0,59";"2097152";"79482";"3,79";"0";"0";"34928";"0";"0"
"04.01.2016 02:30:00";"2";"0";"20";"0,57";"2097152";"62705";"2,99";"0";"0";"34928";"0";"0"
"04.01.2016 02:35:00";"2";"0";"19";"0,54";"2097152";"100454";"4,79";"0";"0";"34928";"0";"0"
"04.01.2016 02:40:00";"2";"0";"23";"0,65";"2097152";"83676";"3,99";"0";"7";"34928";"1";"0"
"04.01.2016 02:45:00";"2";"0";"21";"0,6";"2097152";"54316";"2,59";"0";"3";"34928";"0";"0"
"04.01.2016 02:50:00";"2";"0";"18";"0,52";"2097152";"59769";"2,85";"0";"0";"34928";"0";"0"
"04.01.2016 02:55:00";"2";"0";"20";"0,58";"2097152";"73820";"3,52";"0";"0";"34928";"0";"0"
