"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.12.2015 00:00:00";"2";"0";"860";"23,98";"16777216";"8185604";"48,79";"83371";"47";"562";"110";"1214"
"04.12.2015 00:05:00";"2";"0";"1126";"31,37";"16777216";"9604956";"57,25";"82857";"315";"562";"377";"2580"
"04.12.2015 00:10:00";"2";"0";"919";"25,62";"16777216";"9672065";"57,65";"77813";"116";"562";"140";"1800"
"04.12.2015 00:15:00";"2";"0";"627";"17,46";"16777216";"8923801";"53,19";"69812";"73";"562";"63";"447"
"04.12.2015 00:20:00";"2";"0";"646";"17,99";"16777216";"8051386";"47,99";"75829";"55";"562";"50";"297"
"04.12.2015 00:25:00";"2";"0";"624";"17,39";"16777216";"7615178";"45,39";"72937";"53";"562";"61";"400"
"04.12.2015 00:30:00";"2";"0";"654";"18,23";"16777216";"7246079";"43,19";"78058";"49";"562";"63";"1579"
"04.12.2015 00:35:00";"2";"0";"663";"18,47";"16777216";"7524581";"44,85";"73175";"70";"562";"41";"360"
"04.12.2015 00:40:00";"2";"0";"1021";"28,45";"16777216";"8665432";"51,65";"164036";"66";"562";"59";"1158"
"04.12.2015 00:45:00";"2";"0";"421";"11,74";"16777216";"8252712";"49,19";"17710";"706";"562";"62";"1407"
"04.12.2015 00:50:00";"2";"0";"325";"9,06";"16777216";"5165705";"30,79";"2480";"58";"562";"64";"233"
"04.12.2015 00:55:00";"2";"0";"310";"8,66";"16777216";"3878892";"23,12";"725";"57";"562";"68";"373"
"04.12.2015 01:00:00";"2";"0";"279";"7,78";"16777216";"3253102";"19,39";"144";"52";"562";"49";"114"
"04.12.2015 01:05:00";"2";"0";"690";"19,25";"16777216";"8173860";"48,72";"11944";"85";"562";"294";"552"
