"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"2";"0";"48";"1,01";"4194304";"158964";"3,79";"0";"1";"50";"0";"0"
"05.11.2015 00:05:00";"2";"0";"48";"1,01";"4194304";"200907";"4,79";"0";"1";"50";"0";"0"
"05.11.2015 00:10:00";"2";"0";"102";"2,14";"4194304";"379585";"9,05";"0";"9";"50";"0";"0"
"05.11.2015 00:15:00";"2";"0";"40";"0,85";"4194304";"284793";"6,79";"0";"1";"50";"0";"0"
"05.11.2015 00:20:00";"2";"0";"48";"1";"4194304";"203424";"4,85";"0";"1";"50";"0";"0"
"05.11.2015 00:25:00";"2";"0";"54";"1,15";"4194304";"251239";"5,99";"0";"3";"50";"0";"0"
"05.11.2015 00:30:00";"2";"0";"51";"1,06";"4194304";"259627";"6,19";"0";"2";"50";"0";"0"
"05.11.2015 00:35:00";"2";"0";"55";"1,16";"4194304";"226073";"5,39";"1";"2";"50";"0";"0"
"05.11.2015 00:40:00";"2";"0";"49";"1,02";"4194304";"206360";"4,92";"0";"2";"50";"0";"0"
"05.11.2015 00:45:00";"2";"0";"49";"1,04";"4194304";"226073";"5,39";"0";"1";"50";"0";"0"
"05.11.2015 00:50:00";"2";"0";"49";"1,03";"4194304";"195035";"4,65";"0";"1";"50";"0";"0"
"05.11.2015 00:55:00";"2";"0";"50";"1,04";"4194304";"147640";"3,52";"0";"1";"50";"0";"0"
"05.11.2015 01:00:00";"2";"0";"49";"1,03";"4194304";"189583";"4,52";"0";"1";"50";"0";"0"
"05.11.2015 01:05:00";"2";"0";"51";"1,07";"4194304";"211812";"5,05";"0";"1";"50";"0";"0"
"05.11.2015 01:10:00";"2";"0";"45";"0,94";"4194304";"245367";"5,85";"0";"2";"50";"0";"0"
"05.11.2015 01:15:00";"2";"0";"45";"0,96";"4194304";"223137";"5,32";"0";"1";"50";"0";"0"
"05.11.2015 01:20:00";"2";"0";"48";"1,02";"4194304";"139251";"3,32";"0";"1";"50";"0";"0"
"05.11.2015 01:25:00";"2";"0";"55";"1,15";"4194304";"245367";"5,85";"0";"3";"50";"0";"0"
"05.11.2015 01:30:00";"2";"0";"236";"4,93";"4194304";"348966";"8,32";"918";"34";"50";"4";"181"
"05.11.2015 01:35:00";"2";"0";"57";"1,2";"4194304";"410622";"9,79";"1";"4";"50";"0";"0"
"05.11.2015 01:40:00";"2";"0";"51";"1,06";"4194304";"251239";"5,99";"0";"1";"50";"0";"0"
"05.11.2015 01:45:00";"2";"0";"48";"1,01";"4194304";"214748";"5,12";"0";"1";"50";"0";"0"
