"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.01.2016 00:00:00";"8";"0";"446";"2,32";"8388608";"144284";"1,72";"0";"0";"50";"0";"0"
"04.01.2016 00:05:00";"8";"0";"456";"2,37";"8388608";"133379";"1,59";"0";"0";"50";"0";"0"
"04.01.2016 00:10:00";"8";"0";"518";"2,69";"8388608";"401814";"4,79";"0";"9";"50";"0";"0"
"04.01.2016 00:15:00";"8";"0";"431";"2,24";"8388608";"171966";"2,05";"0";"0";"50";"0";"0"
"04.01.2016 00:20:00";"8";"0";"428";"2,22";"8388608";"200488";"2,39";"0";"0";"50";"0";"0"
"04.01.2016 00:25:00";"8";"0";"429";"2,23";"8388608";"217265";"2,59";"0";"0";"50";"0";"0"
"04.01.2016 00:30:00";"8";"0";"431";"2,24";"8388608";"217265";"2,59";"0";"1";"50";"0";"0"
"04.01.2016 00:35:00";"8";"0";"437";"2,27";"8388608";"121635";"1,45";"0";"2";"50";"0";"0"
"04.01.2016 00:40:00";"8";"0";"435";"2,26";"8388608";"133379";"1,59";"0";"0";"50";"0";"0"
"04.01.2016 00:45:00";"8";"0";"432";"2,25";"8388608";"144284";"1,72";"0";"0";"50";"0";"0"
"04.01.2016 00:50:00";"8";"0";"431";"2,24";"8388608";"121635";"1,45";"0";"0";"50";"0";"0"
"04.01.2016 00:55:00";"8";"0";"433";"2,25";"8388608";"155189";"1,85";"0";"1";"50";"0";"0"
"04.01.2016 01:00:00";"8";"0";"424";"2,2";"8388608";"127507";"1,52";"0";"0";"50";"0";"0"
"04.01.2016 01:05:00";"8";"0";"455";"2,37";"8388608";"99824";"1,19";"0";"1";"50";"0";"0"
"04.01.2016 01:10:00";"8";"0";"436";"2,27";"8388608";"183711";"2,19";"0";"1";"50";"0";"0"
"04.01.2016 01:15:00";"8";"0";"439";"2,28";"8388608";"183711";"2,19";"0";"0";"50";"0";"0"
"04.01.2016 01:20:00";"8";"0";"439";"2,28";"8388608";"255853";"3,05";"0";"1";"50";"0";"0"
"04.01.2016 01:25:00";"8";"0";"448";"2,33";"8388608";"110730";"1,32";"0";"0";"50";"0";"0"
"04.01.2016 01:30:00";"8";"0";"715";"3,72";"8388608";"306184";"3,65";"733";"33";"50";"4";"148"
"04.01.2016 01:35:00";"8";"0";"495";"2,58";"8388608";"647601";"7,72";"0";"3";"50";"0";"0"
"04.01.2016 01:40:00";"8";"0";"458";"2,38";"8388608";"312056";"3,72";"0";"0";"50";"0";"0"
"04.01.2016 01:45:00";"8";"0";"447";"2,32";"8388608";"301151";"3,59";"0";"0";"50";"0";"0"
"04.01.2016 01:50:00";"8";"0";"452";"2,35";"8388608";"217265";"2,59";"0";"0";"50";"0";"0"
"04.01.2016 01:55:00";"8";"0";"453";"2,36";"8388608";"200488";"2,39";"0";"1";"50";"0";"0"
"04.01.2016 02:00:00";"8";"0";"436";"2,27";"8388608";"166933";"1,99";"0";"0";"50";"0";"0"
"04.01.2016 02:05:00";"8";"0";"448";"2,33";"8388608";"116602";"1,39";"0";"0";"50";"0";"0"
"04.01.2016 02:10:00";"8";"0";"436";"2,27";"8388608";"83047";"0,99";"0";"0";"50";"0";"0"
"04.01.2016 02:15:00";"8";"0";"436";"2,27";"8388608";"104858";"1,25";"0";"0";"50";"0";"0"
"04.01.2016 02:20:00";"8";"0";"435";"2,26";"8388608";"144284";"1,72";"0";"0";"50";"0";"0"
"04.01.2016 02:25:00";"8";"0";"449";"2,34";"8388608";"88080";"1,05";"0";"1";"50";"0";"0"
"04.01.2016 02:30:00";"8";"0";"446";"2,32";"8388608";"133379";"1,59";"0";"1";"50";"0";"0"
"04.01.2016 02:35:00";"8";"0";"444";"2,31";"8388608";"99824";"1,19";"0";"2";"50";"0";"0"
"04.01.2016 02:40:00";"8";"0";"450";"2,34";"8388608";"138412";"1,65";"0";"0";"50";"0";"0"
"04.01.2016 02:45:00";"8";"0";"457";"2,37";"8388608";"110730";"1,32";"0";"0";"50";"0";"0"
"04.01.2016 02:50:00";"8";"0";"449";"2,33";"8388608";"88080";"1,05";"0";"0";"50";"0";"0"
"04.01.2016 02:55:00";"8";"0";"447";"2,32";"8388608";"177838";"2,12";"0";"1";"50";"0";"0"
"04.01.2016 03:00:00";"8";"0";"443";"2,3";"8388608";"155189";"1,85";"0";"0";"50";"0";"0"
"04.01.2016 03:05:00";"8";"0";"445";"2,31";"8388608";"144284";"1,72";"0";"0";"50";"0";"0"
"04.01.2016 03:10:00";"8";"0";"434";"2,26";"8388608";"127507";"1,52";"0";"1";"50";"0";"0"
"04.01.2016 03:15:00";"8";"0";"432";"2,25";"8388608";"205521";"2,45";"0";"0";"50";"0";"0"
"04.01.2016 03:20:00";"8";"0";"430";"2,24";"8388608";"138412";"1,65";"0";"15";"50";"0";"0"
"04.01.2016 03:25:00";"8";"0";"444";"2,31";"8388608";"222298";"2,65";"0";"0";"50";"0";"0"
"04.01.2016 03:30:00";"8";"0";"436";"2,27";"8388608";"155189";"1,85";"0";"0";"50";"0";"0"
"04.01.2016 03:35:00";"8";"0";"438";"2,28";"8388608";"239075";"2,85";"0";"1";"50";"0";"0"
"04.01.2016 03:40:00";"8";"0";"437";"2,27";"8388608";"234042";"2,79";"0";"1";"50";"0";"0"
"04.01.2016 03:45:00";"8";"0";"436";"2,27";"8388608";"116602";"1,39";"0";"0";"50";"0";"0"
"04.01.2016 03:50:00";"8";"0";"443";"2,3";"8388608";"166933";"1,99";"0";"0";"50";"0";"0"
"04.01.2016 03:55:00";"8";"0";"436";"2,27";"8388608";"183711";"2,19";"0";"1";"50";"0";"0"
"04.01.2016 04:00:00";"8";"0";"425";"2,21";"8388608";"150156";"1,79";"0";"0";"50";"0";"0"
"04.01.2016 04:05:00";"8";"0";"432";"2,25";"8388608";"83047";"0,99";"0";"0";"50";"0";"0"
"04.01.2016 04:10:00";"8";"0";"432";"2,25";"8388608";"166933";"1,99";"0";"0";"50";"0";"0"
"04.01.2016 04:15:00";"8";"0";"438";"2,28";"8388608";"144284";"1,72";"0";"0";"50";"0";"0"
"04.01.2016 04:20:00";"8";"0";"445";"2,31";"8388608";"239075";"2,85";"0";"0";"50";"0";"0"
"04.01.2016 04:25:00";"8";"0";"469";"2,44";"8388608";"261725";"3,12";"0";"0";"50";"0";"0"
"04.01.2016 04:30:00";"8";"0";"453";"2,35";"8388608";"110730";"1,32";"0";"1";"50";"0";"0"
"04.01.2016 04:35:00";"8";"0";"455";"2,37";"8388608";"121635";"1,45";"0";"1";"50";"0";"0"
"04.01.2016 04:40:00";"8";"0";"448";"2,33";"8388608";"211393";"2,52";"0";"1";"50";"0";"0"
"04.01.2016 04:45:00";"8";"0";"450";"2,34";"8388608";"228170";"2,72";"0";"0";"50";"0";"0"
"04.01.2016 04:50:00";"8";"0";"453";"2,35";"8388608";"244947";"2,92";"0";"0";"50";"0";"0"
"04.01.2016 04:55:00";"8";"0";"452";"2,35";"8388608";"99824";"1,19";"0";"1";"50";"0";"0"
"04.01.2016 05:00:00";"8";"0";"439";"2,28";"8388608";"194616";"2,32";"0";"0";"50";"0";"0"
"04.01.2016 05:05:00";"8";"0";"452";"2,35";"8388608";"77175";"0,92";"0";"0";"50";"0";"0"
"04.01.2016 05:10:00";"8";"0";"446";"2,32";"8388608";"83047";"0,99";"0";"0";"50";"0";"0"
"04.01.2016 05:15:00";"8";"0";"441";"2,29";"8388608";"104858";"1,25";"0";"0";"50";"0";"0"
"04.01.2016 05:20:00";"8";"0";"431";"2,24";"8388608";"144284";"1,72";"0";"1";"50";"0";"0"
"04.01.2016 05:25:00";"8";"0";"449";"2,33";"8388608";"194616";"2,32";"0";"0";"50";"0";"0"
"04.01.2016 05:30:00";"8";"0";"441";"2,29";"8388608";"116602";"1,39";"0";"0";"50";"0";"0"
"04.01.2016 05:35:00";"8";"0";"433";"2,25";"8388608";"188744";"2,25";"0";"1";"50";"0";"0"
