"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.12.2015 00:00:00";"1";"0";"67";"2,82";"4194304";"130862";"3,12";"0";"10";"84";"0";"0"
"04.12.2015 00:05:00";"1";"0";"69";"2,89";"4194304";"125410";"2,99";"0";"14";"84";"0";"0"
"04.12.2015 00:10:00";"1";"0";"67";"2,84";"4194304";"46976";"1,12";"0";"11";"84";"0";"0"
"04.12.2015 00:15:00";"1";"0";"68";"2,84";"4194304";"114085";"2,72";"0";"11";"84";"0";"0"
"04.12.2015 00:20:00";"1";"0";"68";"2,85";"4194304";"127926";"3,05";"0";"11";"84";"0";"0"
"04.12.2015 00:25:00";"1";"0";"68";"2,88";"4194304";"60817";"1,45";"0";"10";"84";"0";"0"
"04.12.2015 00:30:00";"1";"0";"68";"2,85";"4194304";"80531";"1,92";"0";"10";"84";"0";"0"
"04.12.2015 00:35:00";"1";"0";"68";"2,86";"4194304";"117021";"2,79";"0";"12";"84";"0";"0"
"04.12.2015 00:40:00";"1";"0";"68";"2,87";"4194304";"85983";"2,05";"0";"9";"84";"0";"0"
"04.12.2015 00:45:00";"1";"0";"68";"2,85";"4194304";"58301";"1,39";"0";"12";"84";"0";"0"
"04.12.2015 00:50:00";"1";"0";"67";"2,85";"4194304";"41524";"0,99";"0";"10";"84";"0";"0"
"04.12.2015 00:55:00";"1";"0";"68";"2,88";"4194304";"58301";"1,39";"0";"10";"84";"0";"0"
"04.12.2015 01:00:00";"1";"0";"67";"2,82";"4194304";"41524";"0,99";"0";"10";"84";"0";"0"
"04.12.2015 01:05:00";"1";"0";"69";"2,91";"4194304";"66689";"1,59";"0";"13";"84";"0";"0"
"04.12.2015 01:10:00";"1";"0";"74";"3,1";"4194304";"49912";"1,19";"0";"10";"84";"0";"0"
"04.12.2015 01:15:00";"1";"0";"68";"2,85";"4194304";"44040";"1,05";"0";"11";"84";"0";"0"
"04.12.2015 01:20:00";"1";"0";"68";"2,86";"4194304";"88919";"2,12";"0";"11";"84";"0";"0"
"04.12.2015 01:25:00";"1";"0";"68";"2,87";"4194304";"85983";"2,05";"0";"10";"84";"0";"0"
"04.12.2015 01:30:00";"1";"0";"68";"2,86";"4194304";"16358";"0,39";"0";"10";"84";"0";"0"
"04.12.2015 01:35:00";"1";"0";"69";"2,89";"4194304";"85983";"2,05";"0";"11";"84";"0";"0"
"04.12.2015 01:40:00";"1";"0";"71";"3,01";"4194304";"75078";"1,79";"0";"10";"84";"0";"0"
"04.12.2015 01:45:00";"1";"0";"70";"2,96";"4194304";"55365";"1,32";"0";"12";"84";"0";"0"
